strain	date	country	continent
AF484424.1			
HQ830408.1	1960		
HQ830409.1	1961		
HQ830410.1	1961		
HQ830411.1	1967		
HQ830412.1	1968		
HQ830413.1	1971		
HQ830414.1	1971		
HQ830415.1	1971		
HQ830416.1	1978		
HQ830417.1	1979		
HQ830418.1	1980		
HQ830419.1	1980		
HQ830420.1	1980		
HQ830421.1	1988		
HQ830422.1	1988		
HQ830423.1	1988		
HQ830424.1	1991		
HQ830425.1	1993		
HQ830426.1	1994		
HQ830427.1	1994		
HQ830428.1	1994		
HQ830429.1	1994		
HQ830430.1	1994		
HQ830431.1	1996		
HQ830432.1	1996		
HQ830433.1	1996		
HQ830434.1	1996		
HQ830435.1	2003		
HQ830436.1	2000		
HQ830437.1	2003		
HQ830438.1	2004		
HQ830439.1	2004		
HQ830440.1	2006		
HQ830441.1	2006		
HQ830442.1	2006		
KC759122.1		Trinidad and Tobago	North America
KC759125.1		Peru	South America
KC759128.1		Panama	North America
KP026179.1	1955	Trinidad and Tobago	North America
KP052850.1	1960	Brazil	South America
KP691603.1	2009-07-24	Brazil	South America
KP691606.1	2009-07-23	Brazil	South America
KP691609.1	2009-07-24	Brazil	South America
KP691612.1	2009-07-24	Brazil	South America
KP691615.1	2009-07-23	Brazil	South America
KP691618.1	2009-06-17	Brazil	South America
KP691621.1	2009-06-23	Brazil	South America
KP691630.1	2009-08-20	Brazil	South America
MF620129.1	1961-01-13		
MF926354.1	2016-04-01	Ecuador	South America
MG747505.1	1996	Brazil	South America
MG747508.1	1980	Brazil	South America
MG747511.1	1980	Brazil	South America
MG747514.1	1988	Brazil	South America
MG747517.1	1988	Brazil	South America
MG747520.1	1993	Brazil	South America
MG747523.1	2000	Brazil	South America
MG747526.1	1960	Brazil	South America
MG747529.1	1961	Brazil	South America
MG747532.1	1961	Brazil	South America
MG747535.1	1967	Brazil	South America
MG747538.1	1968	Brazil	South America
MG747541.1	1971	Brazil	South America
MG747544.1	1971	Brazil	South America
MG747547.1	1971	Brazil	South America
MG747550.1	1978	Brazil	South America
MG747553.1	1979	Brazil	South America
MG747556.1	1980	Brazil	South America
MG747559.1	1994	Brazil	South America
MG747562.1	1994	Brazil	South America
MG747565.1	1994	Brazil	South America
MG747568.1	1994	Brazil	South America
MG747571.1	1994	Brazil	South America
MG747574.1	1996	Brazil	South America
MG747577.1	1996	Brazil	South America
MG747580.1	1996	Brazil	South America
MG747583.1	2003	Brazil	South America
MG747586.1	2003	Brazil	South America
MG747589.1	2004	Brazil	South America
MG747592.1	2004	Brazil	South America
MG747595.1	2006	Brazil	South America
MG747598.1	2006	Brazil	South America
MG747601.1	2006	Brazil	South America
MG747604.1	1990	Brazil	South America
MG747607.1	1991	Brazil	South America
MK506828.1	2016-04	Ecuador	South America
MK506829.1	2016-04	Ecuador	South America
