strain	date	country	continent
HQ830373.1	1960		
HQ830374.1	1961		
HQ830375.1	1961		
HQ830376.1	1967		
HQ830377.1	1968		
HQ830378.1	1971		
HQ830379.1	1971		
HQ830380.1	1971		
HQ830381.1	1978		
HQ830382.1	1979		
HQ830383.1	1980		
HQ830384.1	1980		
HQ830385.1	1980		
HQ830386.1	1988		
HQ830387.1	1988		
HQ830388.1	1988		
HQ830389.1	1991		
HQ830390.1	1993		
HQ830391.1	1994		
HQ830392.1	1994		
HQ830393.1	1994		
HQ830394.1	1994		
HQ830395.1	1994		
HQ830396.1	1996		
HQ830397.1	1996		
HQ830398.1	1996		
HQ830399.1	1996		
HQ830400.1	2003		
HQ830401.1	2000		
HQ830402.1	2003		
HQ830403.1	2004		
HQ830404.1	2004		
HQ830405.1	2006		
HQ830406.1	2006		
HQ830407.1	2006		
KC759123.1		Trinidad and Tobago	North America
KC759126.1		Peru	South America
KC759129.1		Panama	North America
KP026180.1	1955	Trinidad and Tobago	North America
KP052851.1	1960	Brazil	South America
KP691604.1	2009-07-24	Brazil	South America
KP691607.1	2009-07-23	Brazil	South America
KP691610.1	2009-07-24	Brazil	South America
KP691613.1	2009-07-24	Brazil	South America
KP691616.1	2009-07-23	Brazil	South America
KP691619.1	2009-06-17	Brazil	South America
KP691622.1	2009-06-23	Brazil	South America
KP691631.1	2009-08-20	Brazil	South America
MF620128.1	1961-01-13		
MF926353.1	2016-04-01	Ecuador	South America
MG747504.1	1996	Brazil	South America
MG747507.1	1980	Brazil	South America
MG747510.1	1980	Brazil	South America
MG747513.1	1988	Brazil	South America
MG747516.1	1988	Brazil	South America
MG747519.1	1993	Brazil	South America
MG747522.1	2000	Brazil	South America
MG747525.1	1960	Brazil	South America
MG747528.1	1961	Brazil	South America
MG747531.1	1961	Brazil	South America
MG747534.1	1967	Brazil	South America
MG747537.1	1968	Brazil	South America
MG747540.1	1971	Brazil	South America
MG747543.1	1971	Brazil	South America
MG747546.1	1971	Brazil	South America
MG747549.1	1978	Brazil	South America
MG747552.1	1979	Brazil	South America
MG747555.1	1980	Brazil	South America
MG747558.1	1994	Brazil	South America
MG747561.1	1994	Brazil	South America
MG747564.1	1994	Brazil	South America
MG747567.1	1994	Brazil	South America
MG747570.1	1994	Brazil	South America
MG747573.1	1996	Brazil	South America
MG747576.1	1996	Brazil	South America
MG747579.1	1996	Brazil	South America
MG747582.1	2003	Brazil	South America
MG747585.1	2003	Brazil	South America
MG747588.1	2004	Brazil	South America
MG747591.1	2004	Brazil	South America
MG747594.1	2006	Brazil	South America
MG747597.1	2006	Brazil	South America
MG747600.1	2006	Brazil	South America
MG747603.1	1990	Brazil	South America
MG747606.1	1991	Brazil	South America
MK506823.1	2016-04	Ecuador	South America
MK506824.1	2016-04	Ecuador	South America
MK506825.1	2016-04	Ecuador	South America
MK506826.1	2016-04	Ecuador	South America
