strain	date	country	continent
AY117135.3		Brazil	South America
AY237111.1			
AY704559.1		Brazil	South America
AY704560.1		Brazil	South America
AY704561.1		Brazil	South America
AY704562.1		Brazil	South America
AY704563.1		Brazil	South America
AY704564.1		Brazil	South America
AY704565.1		Brazil	South America
AY704566.1		Brazil	South America
AY704567.1		Brazil	South America
AY704568.1		Brazil	South America
AY993909.1			
AY993910.1			
AY993911.1			
AY993912.1			
EF467368.1		Brazil	South America
EF467369.1		Brazil	South America
EF467370.1		Brazil	South America
EF467371.1		Brazil	South America
EF467372.1		Brazil	South America
HM107840.1	2005	Brazil	South America
HM107841.1	2006	Brazil	South America
HM107842.1	2007	Brazil	South America
HM470101.1	1996	Brazil	South America
HM470102.1	1996	Brazil	South America
HM470103.1	1980	Brazil	South America
HM470104.1	1980	Brazil	South America
HM470105.1	1988	Brazil	South America
HM470106.1	1988	Brazil	South America
HM470107.1	1960	Brazil	South America
HM470108.1	1961	Brazil	South America
HM470109.1	1961	Brazil	South America
HM470110.1	1967	Brazil	South America
HM470111.1	1968	Brazil	South America
HM470112.1	1973	Brazil	South America
HM470113.1	1975	Brazil	South America
HM470114.1	1978	Brazil	South America
HM470115.1	1978	Brazil	South America
HM470116.1	1978	Brazil	South America
HM470117.1	1979	Brazil	South America
HM470118.1	1979	Brazil	South America
HM470119.1	1980	Brazil	South America
HM470120.1	1980	Brazil	South America
HM470121.1	1980	Brazil	South America
HM470122.1	1994	Brazil	South America
HM470123.1	1994	Brazil	South America
HM470124.1	1994	Brazil	South America
HM470125.1	1994	Brazil	South America
HM470126.1	1994	Brazil	South America
HM470127.1	1996	Brazil	South America
HM470128.1	1996	Brazil	South America
HM470129.1	1996	Brazil	South America
HM470130.1	1996	Brazil	South America
HM470131.1	1996	Brazil	South America
HM470132.1	1996	Brazil	South America
HM470133.1	2006	Brazil	South America
HM470134.1	2006	Brazil	South America
HM470135.1	2006	Brazil	South America
HM470136.1	2006	Brazil	South America
HM470137.1	2006	Brazil	South America
HM470138.1	2006	Brazil	South America
HM470139.1	1990	Brazil	South America
HM470140.1	1991	Brazil	South America
HM470141.1	1991	Brazil	South America
HM470142.1	1991	Brazil	South America
HQ830443.1	1968		
HQ830444.1	1973		
HQ830445.1	1975		
HQ830446.1	1978		
HQ830447.1	1978		
HQ830448.1	1979		
HQ830449.1	1979		
HQ830450.1	1980		
HQ830451.1	1980		
HQ830452.1	1980		
HQ830453.1	1980		
HQ830454.1			
HQ830455.1	1988		
HQ830456.1	1988		
HQ830457.1	1990		
HQ830458.1	1991		
HQ830459.1	1991		
HQ830460.1	1991		
HQ830461.1	1994		
HQ830462.1	1994		
HQ830463.1	1994		
HQ830464.1	1994		
HQ830465.1	1996		
HQ830466.1	1996		
HQ830467.1	1996		
HQ830468.1	1996		
HQ830469.1	1996		
HQ830470.1	1996		
HQ830471.1	1996		
HQ830472.1	1996		
HQ830473.1	2006		
HQ830474.1	2006		
HQ830475.1	2006		
HQ830476.1	2006		
HQ830477.1	2006		
HQ830478.1	2009		
HQ830479.1	2009		
HQ830480.1	2009		
HQ830481.1	2009		
HQ830482.1	2009		
HQ830483.1	2009		
HQ830484.1	2009		
HQ830485.1	2009		
HQ830486.1	2009		
HQ830487.1	2009		
HQ830488.1	2009		
HQ830489.1	2009		
HQ830490.1	2009		
HQ830491.1	2009		
HQ830492.1	2009	Brazil	South America
KC759124.1		Trinidad and Tobago	North America
KC759127.1		Peru	South America
KC759130.1		Panama	North America
KP026181.1	1955	Trinidad and Tobago	North America
KP052852.1	1960	Brazil	South America
KP691605.1	2009-07-24	Brazil	South America
KP691608.1	2009-07-23	Brazil	South America
KP691611.1	2009-07-24	Brazil	South America
KP691614.1	2009-07-24	Brazil	South America
KP691617.1	2009-07-23	Brazil	South America
KP691620.1	2009-06-17	Brazil	South America
KP691623.1	2009-06-23	Brazil	South America
KP691632.1	2009-08-20	Brazil	South America
MF620127.1	1961-01-13		
MF926352.1	2016-04-01	Ecuador	South America
MG591459.1	2017	Brazil	South America
MG747503.1	1996	Brazil	South America
MG747506.1	1980	Brazil	South America
MG747509.1	1980	Brazil	South America
MG747512.1	1988	Brazil	South America
MG747515.1	1988	Brazil	South America
MG747518.1	1993	Brazil	South America
MG747521.1	2000	Brazil	South America
MG747524.1	1960	Brazil	South America
MG747527.1	1961	Brazil	South America
MG747530.1	1961	Brazil	South America
MG747533.1	1967	Brazil	South America
MG747536.1	1968	Brazil	South America
MG747539.1	1971	Brazil	South America
MG747542.1	1971	Brazil	South America
MG747545.1	1971	Brazil	South America
MG747548.1	1978	Brazil	South America
MG747551.1	1979	Brazil	South America
MG747554.1	1980	Brazil	South America
MG747557.1	1994	Brazil	South America
MG747560.1	1994	Brazil	South America
MG747563.1	1994	Brazil	South America
MG747566.1	1994	Brazil	South America
MG747569.1	1994	Brazil	South America
MG747572.1	1996	Brazil	South America
MG747575.1	1996	Brazil	South America
MG747578.1	1996	Brazil	South America
MG747581.1	2003	Brazil	South America
MG747584.1	2003	Brazil	South America
MG747587.1	2004	Brazil	South America
MG747590.1	2004	Brazil	South America
MG747593.1	2006	Brazil	South America
MG747596.1	2006	Brazil	South America
MG747599.1	2006	Brazil	South America
MG747602.1	1990	Brazil	South America
MG747605.1	1991	Brazil	South America
MK506818.1	2016-04	Ecuador	South America
MK506819.1	2016-04	Ecuador	South America
MK506820.1	2016-04	Ecuador	South America
MK506821.1	2016-04	Ecuador	South America
MK506822.1	2016-04	Ecuador	South America
MT338561.1		Brazil	South America
MT338563.1	2017	Brazil	South America
MT879230.1	2018-03-30	Brazil	South America
NC_005777.1			
PP153945.1	2023-05-11	Brazil	South America
PP153948.1	2023-03-02	Brazil	South America
PP153951.1	2023-01-09	Brazil	South America
PP153954.1	2023-03-23	Brazil	South America
PP153957.1	2023-03-14	Brazil	South America
PP153960.1	2023-03-09	Brazil	South America
PP153963.1	2023-03-08	Brazil	South America
PP153966.1	2023-02-14	Brazil	South America
PP153969.1	2023-02-06	Brazil	South America
PP153972.1	2023-02-01	Brazil	South America
PP153975.1	2023-01-25	Brazil	South America
PP153977.1	2022-10-31	Brazil	South America
PP153981.1	2022-08-30	Brazil	South America
PP153984.1	2023-08-07	Brazil	South America
PP153987.1	2023-08-08	Brazil	South America
PP153990.1	2023-08-09	Brazil	South America
